№ п/п,Регион,Полигон,ID Объекта,Отсутствие ванн для дезинфекции колес ,Выход полигона за границы кадастрового участка,Расположение объекта на расстоянии менее 15 км от действующего аэродрома,Не выполняется пересыпка тела полигона,"Отсутствие КПП, ворот или шлагбаума ",Отсутствие ограждения по периметру полигона ,Отсутствие весового контроля ,Наличие тлений и возгораний на теле полигона,Заболачивание и подтопление полигона ,Отсутствие обводных каналов ,Выход фильтрата за границы отведенного земельного участка,"Размещение фракций, не относящихся к ТКО",Разлет фракций на прилегающие территории ,Нарушение санитарно - защитной зоны,Координаты,Спутниковое изображение
248,Самарская область,Полигон ТБО,622,нет,да,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,да,"54.189171, 50.445769",0
253,Самарская область,Полигон ТБО г. Новокуйбышевска,623,да,да,нет,нет,да,да,нет,нет,нет,да,да,нет,нет,нет,"53.049788, 49.860767",0
249,Самарская область,Усовершенствованный высоконагруженный полигон ТБО и промышленных отходов г. Сызрань,624,да,да,нет,да,да,да,да,нет,нет,да,да,нет,нет,нет,"53.187142, 48.269173",0
252,Самарская область,Полигон ТБО «Тимофеевский»,625,да,да,нет,нет,да,да,да,нет,нет,да,нет,нет,нет,да,"53.58294, 49.342546",0
247,Самарская область,Полигон ТБО «Преображенка»,626,нет,да,да,нет,нет,нет,нет,нет,да,нет,нет,да,нет,да,"53.025636, 50.101569",0
245,Ставропольский край,Полигон ТБО,627,да,да,да,да,нет,да,нет,нет,нет,да,нет,нет,да,нет,"44.060806, 42.70884",0
246,Ставропольский край,Полигон ТКО,628,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,"44.312224, 43.15422",0
258,Волгоградская область,Полигон ТБО,629,нет,да,да,нет,да,да,нет,нет,нет,да,нет,нет,нет,нет,"48.774001, 44.422858",0
257,Волгоградская область,Полигон ТБО,630,нет,да,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,"50.078915, 45.299195",0
255,Волгоградская область,Межмуниципальный полигон ТБО,631,да,да,нет,да,да,да,да,нет,да,да,да,нет,нет,нет,"48.425363, 44.656465",0
256,Волгоградская область,Полигон ТБО,632,да,нет,нет,да,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,"48.789492, 44.862187",0
344,Калужская область,Полигон ТБО,650,да,да,нет,нет,нет,да,нет,нет,да,да,да,нет,нет,да,"54.08845, 35.357403",0
345,Тульская область,"Полигон ТКО МБУ «Районное благоустройство, ремонт дорог и тротуаров»",651,да,да,нет,нет,нет,да,нет,нет,да,да,да,да,нет,да,"53.988824, 38.269403",0
346,Тульская область,Полигон ТКО МУП «Благоустройство Веневского района»,652,нет,да,нет,нет,нет,да,да,нет,да,нет,да,да,да,да,"54.371854, 38.231734",0
334,Чувашская Республика,Полигон ТБО с. Батырево,653,нет,да,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,"55.026239, 47.621576",0
335,Чувашская Республика,Полигон ТБО Вурнарского района,654,нет,да,нет,да,нет,да,нет,нет,нет,да,нет,нет,нет,нет,"55.477743, 47.036911",0
336,Чувашская Республика,Санкционированная свалка г. Козловка Козловского района,655,да,да,нет,нет,нет,да,да,нет,нет,да,нет,да,нет,да,"55.788867, 48.224176",0
337,Чувашская Республика,Полигон ТБО Урмарского района,656,да,да,нет,нет,да,да,да,нет,нет,да,да,да,да,да,"55.663882, 47.953496",0
338,Чувашская Республика,Полигон ТБО Моргаушского района,657,нет,да,нет,нет,да,да,нет,нет,нет,да,да,да,да,нет,"56.023164, 46.714889",0
339,Чувашская Республика,Полигон для захоронения ТБО в г. Алатырь,658,да,да,нет,да,нет,да,нет,нет,нет,да,да,да,да,да,"54.820754, 46.528708",0
340,Чувашская Республика,Санкционированная свалка села Порецкое,659,да,да,нет,да,нет,да,да,нет,да,да,нет,нет,да,нет,"55.165082, 46.330771",0
341,Чувашская Республика,Санкционированная городская свалка г. Шумерля,660,да,да,нет,нет,нет,нет,нет,нет,нет,нет ,да,нет,да,нет,"55.539304, 46.346585",0
342,Чувашская Республика,Санкционированная свалка Цивильского района,661,нет,да,нет,нет,нет,да,нет,нет,да,нет,да,да,да,нет,"55.869849, 47.657258",0
343,Чувашская Республика,Полигон ТБО в г. Новочебоксарск,662,нет,да,да,нет,нет,нет,нет,нет,да,нет,да,нет,нет,да,"56.057736, 47.522512",0
353,Республика Коми,Полигон твердых бытовых отходов п. Усогорск,667,да,да,нет,да,да,да,да,нет,нет,да,да,нет,нет,нет,"63.431466, 48.613539",0
354,Республика Коми,Ухтинский городской полигон ТБО,668,нет,нет,да,нет,да,да,нет,нет,нет,да,да,нет,нет,нет,"63.638344, 53.757424",0
